label,n,hits,hr,invest,ret,profit,roi,avg_max_min_ratio
⑦ CAPPED ×3.0,84,21,25.0,220800,478730,257930,216.8161231884058,13.2
⑥ CAPPED ×2.5,84,21,25.0,221500,478730,257230,216.13092550790068,13.4
⑤ CAPPED ×2.0,84,21,25.0,222400,478730,256330,215.25629496402877,13.5
⑧ CAPPED ×4.0,84,21,25.0,219900,467790,247890,212.72851296043655,13.0
⑩ HALF_KELLY,84,21,25.0,194400,409830,215430,210.8179012345679,8.8
⑨ CAPPED ×5.0,84,21,25.0,218900,456850,237950,208.70260392873456,12.8
② EV_PROP (現行),84,21,25.0,214000,422650,208650,197.5,10.9
③ √EV,84,21,25.0,205300,354770,149470,172.80565026790063,9.8
④ log(1+EV),84,21,25.0,207100,346860,139760,167.48430709802028,9.6
① UNIFORM (均等),84,21,25.0,117600,122590,4990,104.24319727891157,1.0
