race_id,venue,date,race_no,axis,axis_name,axis_ev,top_ev,invest,return,payout_100,hit,actual,bets
2320260217010007,取手,2026-02-17,7,7,安彦 統賀,76.9,76.9,2700,0,990,False,3-7-1,"7-1-5,7-1-3,7-5-1,7-3-1,7-5-3,7-3-5,7-1-2"
2320260217010008,取手,2026-02-17,8,1,川越 勇星,78.0,78.0,2500,0,2450,False,5-1-6,"1-4-5,1-4-7,1-4-3,1-5-4,1-7-4,1-4-2,1-3-4"
2320260217010010,取手,2026-02-17,10,5,伊藤 信,74.5,74.5,2700,0,2090,False,4-1-3,"5-3-2,5-3-7,5-3-6,5-3-1,5-3-4,5-2-3,5-7-3"
2320260217010011,取手,2026-02-17,11,2,山崎 歩夢,79.5,79.5,2600,0,26350,False,4-1-2,"2-4-5,2-4-7,2-5-4,2-7-4,2-5-7,2-7-5,2-4-3"
2320260217020006,取手,2026-02-18,6,2,内藤 高裕,71.4,71.4,2500,0,25050,False,1-2-7,"2-5-4,2-5-1,2-4-5,2-1-5,2-4-1,2-1-4,2-5-7"
2320260217020007,取手,2026-02-18,7,4,藤原 誠,69.3,71.7,2700,0,790,False,7-3-1,"4-7-5,4-7-1,4-7-2,4-7-3,4-5-7,4-1-7,4-2-7"
2320260217030005,取手,2026-02-19,5,3,戸田 洋平,69.2,71.5,2500,0,2260,False,4-3-5,"3-1-7,3-7-1,3-1-2,3-7-2,3-2-1,3-2-7,3-1-4"
2420260131020007,宇都宮,2026-02-01,7,6,江連 和洋,70.0,70.0,2600,0,6850,False,4-6-5,"6-1-3,6-3-1,6-1-4,6-1-7,6-1-5,6-4-1,6-7-1"
2420260131020010,宇都宮,2026-02-01,10,7,海老根 恵太,82.6,82.6,2700,0,1320,False,2-4-3,"7-2-6,7-2-4,7-6-2,7-2-5,7-2-1,7-2-3,7-4-2"
2420260131030005,宇都宮,2026-02-02,5,4,梁島 邦友,72.1,72.1,2700,0,8580,False,1-6-4,"4-6-3,4-6-1,4-6-2,4-6-5,4-6-7,4-3-6,4-1-6"
2420260131030006,宇都宮,2026-02-02,6,6,江連 和洋,70.1,73.5,2700,0,36080,False,7-6-5,"6-5-2,6-2-5,6-5-4,6-5-7,6-4-5,6-5-1,6-5-3"
2420260131030010,宇都宮,2026-02-02,10,3,後藤 大輝,81.0,81.0,2700,0,6680,False,2-3-7,"3-4-1,3-1-4,3-4-6,3-4-2,3-4-5,3-4-7,3-6-4"
2420260214010006,宇都宮,2026-02-14,6,3,坂本 貴史,74.0,74.0,2400,11690,11690,True,3-5-7,"3-5-4,3-5-1,3-4-5,3-1-5,3-5-7,3-4-1,3-1-4"
2420260214010007,宇都宮,2026-02-14,7,5,浮島 知稀,75.7,75.7,2500,0,2700,False,7-1-2,"5-1-2,5-2-1,5-1-4,5-4-1,5-2-4,5-4-2,5-1-3"
2420260214010008,宇都宮,2026-02-14,8,4,染谷 幸喜,73.3,73.3,2600,0,13250,False,1-7-4,"4-7-1,4-7-5,4-7-3,4-7-6,4-1-7,4-5-7,4-3-7"
2420260214010009,宇都宮,2026-02-14,9,7,笠松 将太,77.7,77.7,2600,0,5340,False,2-4-7,"7-1-3,7-1-2,7-3-1,7-2-1,7-3-2,7-2-3,7-1-5"
2420260214010010,宇都宮,2026-02-14,10,2,上田 裕和,73.6,73.6,1400,0,40210,False,4-6-3,"2-1-7,2-7-1,2-1-5,2-1-3,2-7-5,2-5-1,2-7-3"
2420260214010011,宇都宮,2026-02-14,11,1,鷲田 幸司,76.6,76.6,2600,0,1490,False,5-3-4,"1-5-4,1-4-5,1-5-2,1-2-5,1-5-6,1-4-2,1-2-4"
2420260214020007,宇都宮,2026-02-15,7,6,金澤 幸司,71.0,71.0,1400,0,31260,False,4-3-6,"6-3-1,6-3-2,6-3-5,6-1-3,6-3-4,6-3-7,6-2-3"
2420260214030005,宇都宮,2026-02-16,5,1,田中 陽平,72.0,75.5,2600,0,3320,False,2-1-5,"1-5-4,1-4-5,1-5-7,1-5-2,1-5-6,1-7-5,1-5-3"
2420260214030006,宇都宮,2026-02-16,6,3,鷲田 幸司,78.5,78.5,2400,0,41110,False,5-2-1,"3-1-6,3-6-1,3-1-2,3-6-2,3-2-1,3-2-6,3-1-7"
2420260214030007,宇都宮,2026-02-16,7,2,東矢 昇太,73.6,73.6,2100,0,14800,False,7-3-4,"2-4-7,2-7-4,2-4-3,2-7-3,2-3-4,2-3-7,2-4-5"
2720260203010006,京王閣,2026-02-03,6,7,原田 研太朗,72.3,72.3,2300,0,860,False,7-1-2,"7-5-3,7-3-5,7-5-1,7-5-4,7-3-1,7-3-4,7-1-5"
2720260203010009,京王閣,2026-02-03,9,2,嵯峨 昇喜郎,75.9,75.9,2700,0,3620,False,2-4-6,"2-7-4,2-4-7,2-7-1,2-7-3,2-1-7,2-3-7,2-4-1"
2720260203010012,京王閣,2026-02-03,12,4,皿屋 豊,88.6,88.6,2600,0,2150,False,1-5-2,"4-7-5,4-5-7,4-7-6,4-6-7,4-7-2,4-5-6,4-6-5"
2720260203020007,京王閣,2026-02-04,7,2,稲毛 健太,71.6,71.6,2600,0,12200,False,5-2-3,"2-5-3,2-5-1,2-3-5,2-1-5,2-5-4,2-5-7,2-5-6"
2720260203020008,京王閣,2026-02-04,8,2,渡口 勝成,70.8,70.8,2700,0,6850,False,4-1-2,"2-7-5,2-7-1,2-7-4,2-5-7,2-7-3,2-7-6,2-1-7"
2720260203020009,京王閣,2026-02-04,9,2,安彦 統賀,78.7,78.7,2600,166660,12820,True,2-5-4,"2-5-4,2-4-5,2-5-1,2-4-1,2-1-5,2-1-4,2-5-6"
2720260203030005,京王閣,2026-02-05,5,1,稲毛 健太,74.1,74.1,2500,1310,1310,True,1-5-4,"1-4-2,1-4-7,1-2-4,1-4-3,1-4-6,1-4-5,1-7-4"
2720260203030007,京王閣,2026-02-05,7,5,渡口 勝成,73.2,73.2,2400,0,8110,False,4-2-1,"5-1-2,5-1-4,5-1-3,5-2-1,5-4-1,5-3-1,5-1-7"
2720260203030010,京王閣,2026-02-05,10,1,近藤 保,75.0,75.0,2600,0,19590,False,4-5-1,"1-2-5,1-5-2,1-2-3,1-5-3,1-3-2,1-2-4,1-3-5"
2820260209010006,立川,2026-02-09,6,2,蒔田 英彦,70.0,70.0,2600,0,4780,False,5-1-4,"2-1-5,2-5-1,2-1-7,2-1-4,2-1-3,2-7-1,2-4-1"
2820260209010008,立川,2026-02-09,8,6,江連 和洋,67.3,75.5,1400,0,2470,False,5-3-2,"6-3-2,6-3-1,6-3-5,6-3-7,6-3-4,6-2-3,6-1-3"
2820260209010010,立川,2026-02-09,10,1,鈴木 伸之,73.1,73.1,1400,0,2920,False,7-3-1,"1-2-7,1-2-3,1-7-2,1-3-2,1-2-5,1-5-2,1-7-3"
2820260209010011,立川,2026-02-09,11,2,荒澤 貴史,72.1,76.1,2700,0,2830,False,5-2-4,"2-5-6,2-5-7,2-6-5,2-5-1,2-5-3,2-5-4,2-7-5"
2820260209020012,立川,2026-02-10,12,5,松谷 秀幸,78.3,78.3,2600,0,14180,False,1-4-2,"5-7-3,5-3-7,5-7-4,5-3-4,5-4-7,5-4-3,5-7-1"
2820260209030006,立川,2026-02-11,6,4,蒔田 英彦,72.5,72.5,2600,73920,6160,True,4-5-3,"4-5-3,4-3-5,4-5-2,4-5-1,4-2-5,4-1-5,4-3-2"
3120260204010006,松戸,2026-02-04,6,7,近藤 隆司,71.5,71.5,2700,0,1330,False,5-2-7,"7-2-3,7-2-6,7-3-2,7-6-2,7-2-5,7-3-6,7-6-3"
3120260204010007,松戸,2026-02-04,7,2,佐藤 幸治,71.6,71.6,2700,1700,1700,True,2-4-3,"2-4-7,2-7-4,2-4-3,2-4-1,2-4-5,2-3-4,2-1-4"
3120260204010008,松戸,2026-02-04,8,7,山本 勝利,72.7,72.7,2600,0,81830,False,5-7-1,"7-2-5,7-5-2,7-2-6,7-6-2,7-2-1,7-2-4,7-5-6"
3120260204010011,松戸,2026-02-04,11,3,飯野 祐太,84.6,84.6,2400,6030,6030,True,3-2-7,"3-7-1,3-7-4,3-7-5,3-7-2,3-7-6,3-1-7,3-4-7"
3120260204010012,松戸,2026-02-04,12,5,佐々木 龍,76.5,76.8,2700,0,4690,False,4-5-7,"5-6-2,5-2-6,5-6-7,5-7-6,5-6-4,5-6-3,5-6-1"
3120260204020006,松戸,2026-02-05,6,1,浮島 知稀,70.6,70.6,2400,0,2860,False,5-7-4,"1-5-4,1-4-5,1-5-3,1-4-3,1-3-5,1-3-4,1-5-7"
3120260204020007,松戸,2026-02-05,7,4,城戸 俊潔,70.7,70.7,2600,1780,1780,True,4-1-2,"4-1-3,4-3-1,4-1-5,4-1-2,4-5-1,4-1-7,4-2-1"
3520260209010008,平塚,2026-02-09,8,1,柴崎 俊光,75.2,75.2,2600,0,1040,False,7-3-6,"1-5-4,1-4-5,1-5-6,1-5-3,1-5-7,1-5-2,1-6-5"
3520260209010009,平塚,2026-02-09,9,5,松本 秀之介,76.2,76.2,2700,0,12140,False,2-7-1,"5-3-2,5-3-4,5-2-3,5-3-1,5-4-3,5-3-6,5-1-3"
3520260209020008,平塚,2026-02-10,8,7,成松 春樹,73.0,73.0,2700,0,1070,False,3-5-1,"7-3-1,7-1-3,7-3-2,7-3-5,7-2-3,7-1-2,7-3-6"
3520260209020009,平塚,2026-02-10,9,4,竹内 雄作,74.7,74.7,2700,0,16140,False,6-2-1,"4-5-2,4-2-5,4-5-1,4-1-5,4-5-6,4-5-3,4-2-1"
3720260220010006,伊東,2026-02-20,6,4,三宅 裕武,70.8,72.7,2600,0,3340,False,2-5-3,"4-5-7,4-5-3,4-7-5,4-3-5,4-5-6,4-7-3,4-3-7"
3720260220010012,伊東,2026-02-20,12,3,嶋田 誠也,70.7,80.7,1400,0,730,False,4-5-1,"3-4-1,3-4-6,3-4-5,3-4-7,3-4-2,3-1-4,3-6-4"
3720260220020006,伊東,2026-02-21,6,2,小林 稜武,73.0,73.0,2600,0,3930,False,3-1-2,"2-1-6,2-1-3,2-1-5,2-6-1,2-3-1,2-5-1,2-1-4"
3720260220020007,伊東,2026-02-21,7,5,金子 哲大,73.5,73.5,2700,0,3690,False,1-2-4,"5-1-3,5-1-2,5-1-4,5-3-1,5-1-6,5-2-1,5-4-1"
3720260220030007,伊東,2026-02-22,7,1,金子 哲大,73.3,73.3,2600,1550,1550,True,1-5-2,"1-3-4,1-3-2,1-4-3,1-2-3,1-3-5,1-4-2,1-2-4"
4520260223010006,豊橋,2026-02-23,6,2,小笠原 光,79.4,79.4,2700,0,3170,False,2-7-5,"2-3-7,2-7-3,2-3-1,2-3-4,2-3-6,2-1-3,2-3-5"
4520260223010008,豊橋,2026-02-23,8,1,岡田 征陽,75.9,75.9,2500,650,650,True,1-4-7,"1-7-6,1-7-2,1-6-7,1-2-7,1-6-2,1-2-6,1-7-5"
4520260223010009,豊橋,2026-02-23,9,7,鷲田 幸司,77.4,77.4,2700,0,830,False,1-4-2,"7-5-4,7-4-5,7-5-2,7-5-3,7-5-1,7-2-5,7-3-5"
4520260223010010,豊橋,2026-02-23,10,2,長田 龍拳,81.9,81.9,2600,2940,2940,True,2-4-6,"2-5-4,2-5-1,2-5-6,2-4-5,2-1-5,2-6-5,2-4-1"
4520260223020007,豊橋,2026-02-24,7,2,鷲田 幸司,76.4,76.4,2700,11360,11360,True,2-3-4,"2-1-4,2-1-5,2-1-3,2-1-6,2-1-7,2-4-1,2-5-1"
4720260201010011,松阪,2026-02-01,11,1,森田 一郎,80.3,80.3,2700,0,25260,False,4-6-2,"1-5-4,1-5-7,1-5-3,1-5-2,1-4-5,1-5-6,1-7-5"
4720260201010012,松阪,2026-02-01,12,3,小原 太樹,83.0,83.0,2600,0,12440,False,2-7-1,"3-7-1,3-7-2,3-7-4,3-7-5,3-7-6,3-1-7,3-2-7"
4720260201020009,松阪,2026-02-02,9,1,川口 聖二,72.0,72.0,2700,2980,2980,True,1-2-7,"1-7-5,1-7-3,1-5-7,1-7-6,1-3-7,1-7-2,1-7-4"
4720260201020010,松阪,2026-02-02,10,4,小原 太樹,81.1,81.1,2700,0,2880,False,4-2-1,"4-7-5,4-7-6,4-7-2,4-5-7,4-7-1,4-7-3,4-6-7"
4720260201030006,松阪,2026-02-03,6,3,高田 修汰,72.2,72.2,2700,0,3490,False,1-4-5,"3-5-1,3-1-5,3-5-4,3-4-5,3-1-4,3-4-1,3-5-6"
4720260201030007,松阪,2026-02-03,7,3,徳田 匠,72.9,72.9,2200,0,78000,False,5-7-6,"3-2-5,3-5-2,3-2-7,3-7-2,3-2-1,3-5-7,3-7-5"
4720260201030009,松阪,2026-02-03,9,4,森田 一郎,77.4,77.4,2700,0,258080,False,6-1-7,"4-1-7,4-7-1,4-1-2,4-1-5,4-1-3,4-1-6,4-2-1"
