race_id,date,venue,race_no,axis,axis_name,axis_ev,top_ev,invest,return,payout_100,hit,actual,bets
2420260101010006,2026-01-01,宇都宮,6,4,一戸 康宏,71.0,71.0,1300,0,87070,False,7-2-6,"4-5-2,4-5-1,4-2-5,4-5-7,4-2-1,4-5-3,4-2-7,4-1-7,4-2-3,4-1-3,4-5-6,4-1-6,4-6-7"
2420260101010007,2026-01-01,宇都宮,7,7,山賀 雅仁,70.6,70.6,1400,0,7980,False,4-7-2,"7-4-5,7-5-4,7-4-3,7-4-2,7-3-4,7-5-3,7-4-6,7-5-1,7-2-4,7-5-2,7-1-5,7-6-4,7-2-5,7-5-6"
2420260101010008,2026-01-01,宇都宮,8,4,石塚 輪太郎,71.4,71.4,1200,0,1620,False,1-4-5,"4-5-1,4-1-3,4-3-1,4-5-3,4-3-5,4-1-7,4-1-2,4-5-7,4-5-2,4-1-6,4-5-6,4-6-1"
2420260101010009,2026-01-01,宇都宮,9,1,小堀 敢太,71.0,71.0,1300,0,9660,False,5-2-7,"1-5-3,1-2-5,1-3-5,1-5-4,1-7-5,1-2-3,1-5-6,1-4-5,1-3-2,1-2-7,1-6-5,1-2-4,1-4-2"
2420260101010010,2026-01-01,宇都宮,10,7,武田 豊樹,71.4,71.4,1400,0,25780,False,3-7-6,"7-1-3,7-1-2,7-3-1,7-1-4,7-2-1,7-1-6,7-4-1,7-3-2,7-2-3,7-3-5,7-5-3,7-2-5,7-5-2,7-3-4"
2420260101010011,2026-01-01,宇都宮,11,5,新田 祐大,72.0,72.0,1400,0,620,False,1-5-7,"5-7-1,5-2-1,5-7-2,5-2-7,5-1-4,5-4-1,5-1-3,5-7-4,5-4-7,5-2-4,5-3-1,5-7-3,5-3-7,5-2-3"
2420260101010012,2026-01-01,宇都宮,12,1,皿屋 豊,73.1,73.1,1300,0,85510,False,7-4-6,"1-4-3,1-3-4,1-7-3,1-4-6,1-6-4,1-5-4,1-7-5,1-7-2,1-6-5,1-5-6,1-2-7,1-6-2,1-2-5"
3820260101010012,2026-01-01,静岡,12,3,菅田 壱道,69.6,69.6,1400,0,17730,False,5-3-7,"3-4-1,3-1-4,3-4-2,3-4-7,3-4-5,3-7-4,3-1-7,3-7-1,3-1-5,3-7-2,3-7-5,3-5-7,3-6-2,3-7-6"
5620251231020007,2026-01-01,岸和田,7,4,長尾 拳太,67.6,67.6,1200,0,52090,False,6-1-7,"4-7-5,4-5-7,4-5-3,4-6-7,4-5-1,4-2-7,4-5-2,4-6-3,4-2-3,4-6-1,4-6-2,4-2-6"
5620251231020008,2026-01-01,岸和田,8,4,長谷部 龍一,67.7,67.7,1400,0,95100,False,1-6-4,"4-2-1,4-1-2,4-2-3,4-2-5,4-1-5,4-5-2,4-2-7,4-2-6,4-6-1,4-3-6,4-6-3,4-6-5,4-7-6,4-6-7"
5620251231020009,2026-01-01,岸和田,9,7,松川 高大,68.7,68.7,1400,4890,4890,True,7-4-3,"7-3-5,7-3-2,7-3-1,7-5-3,7-3-4,7-1-3,7-3-6,7-4-3,7-5-2,7-2-5,7-5-1,7-1-5,7-6-3,7-5-4"
5620251231020010,2026-01-01,岸和田,10,2,松岡 貴久,69.0,69.0,1400,0,1100,False,7-2-4,"2-7-1,2-1-7,2-7-5,2-1-4,2-7-3,2-4-1,2-7-6,2-6-7,2-4-5,2-1-6,2-4-3,2-6-1,2-4-6,2-6-4"
