race_id,date,venue,race_no,axis,axis_name,axis_ev,top_ev,invest,return,payout_100,hit,actual,bets
7520260305020005,2026-03-06,松山,5,6,栗田 貴徳,64.6,74.4,2700,0,2020,False,9-7-2,"6-3-5,6-3-1,6-1-3,6-4-3,6-5-9,6-5-1,6-5-4"
7520260305020009,2026-03-06,松山,9,3,寺崎 浩平,85.5,85.5,2600,0,8220,False,7-3-2,"3-1-9,3-9-1,3-1-2,3-2-1,3-9-2,3-2-9,3-1-5"
7520260305030005,2026-03-07,松山,5,2,格清 洋介,80.3,80.3,1200,0,860,False,9-1-4,"2-9-1,2-9-5,2-5-9,2-9-3,2-9-4,2-5-3,2-5-6"
7520260305030006,2026-03-07,松山,6,6,山本 恵介,64.5,77.3,2700,0,1850,False,7-2-9,"6-7-1,6-7-5,6-1-7,6-4-7,6-7-8,6-5-7,6-4-2"
7520260305030007,2026-03-07,松山,7,1,小堺 浩二,82.8,82.8,2600,0,27030,False,2-9-5,"1-9-3,1-9-2,1-3-9,1-2-9,1-3-2,1-2-3,1-9-6"
7520260305030008,2026-03-07,松山,8,1,菅原 大也,83.6,83.6,1200,0,1640,False,9-7-3,"1-5-9,1-9-5,1-5-6,1-5-2,1-2-5,1-2-9,1-5-7"
7520260305030009,2026-03-07,松山,9,3,岡崎 智哉,75.7,75.7,2100,0,57510,False,9-2-1,"3-5-7,3-5-1,3-5-2,3-5-9,3-7-5,3-1-5,3-5-8"
7520260305040005,2026-03-08,松山,5,2,棚瀬 義大,70.5,70.5,2200,12870,12870,True,2-6-8,"2-7-1,2-1-7,2-3-5,2-3-7,2-6-7,2-3-8,2-8-3"
7520260305040006,2026-03-08,松山,6,7,谷口 遼平,82.7,82.7,1300,51800,7400,True,7-2-1,"7-2-1,7-2-5,7-3-2,7-2-3,7-3-9,7-4-6,7-2-8"
7520260305040007,2026-03-08,松山,7,5,松岡 辰泰,77.0,77.0,2600,0,1290,False,1-9-7,"5-1-9,5-1-2,5-9-1,5-2-1,5-1-6,5-9-2,5-2-9"
7520260305040008,2026-03-08,松山,8,7,西田 優大,82.1,82.1,1100,0,7420,False,9-1-3,"7-1-3,7-2-1,7-1-2,7-1-5,7-1-9,7-1-4"
7520260305040011,2026-03-08,松山,11,3,稲川 翔,74.0,74.0,2100,0,460,False,7-3-2,"3-7-1,3-7-5,3-1-7,3-5-7,3-7-2,3-7-8,3-7-9"
2320260312010007,2026-03-12,取手,7,3,岸田 剛,77.5,77.5,1400,0,53680,False,3-5-9,"3-2-1,3-1-2,3-2-9,3-2-5,3-1-9,3-9-1,3-1-8"
2320260312010010,2026-03-12,取手,10,5,内藤 宣彦,82.7,84.4,2500,0,960,False,3-5-9,"5-3-1,5-3-9,5-3-2,5-3-6,5-3-4,5-1-3,5-9-3"
2320260312020005,2026-03-13,取手,5,9,水谷 好宏,71.8,71.8,2100,0,26780,False,9-3-1,"9-7-2,9-2-7,9-2-3,9-3-2,9-2-8,9-2-5,9-7-1"
2320260312020006,2026-03-13,取手,6,5,伊東 翔貴,77.1,80.7,500,0,5060,False,1-9-2,"5-8-1,5-1-6,5-4-2"
2620260312020005,2026-03-13,西武園,5,2,黒瀬 浩太郎,70.4,70.4,2500,810,810,True,2-7-1,"2-9-3,2-3-9,2-5-9,2-3-1,2-1-3,2-7-9,2-3-5"
2620260312020007,2026-03-13,西武園,7,6,山田 駿斗,81.4,81.4,1300,0,5710,False,5-2-1,"6-8-5,6-8-1,6-9-1,6-7-8,6-8-7,6-7-9,6-9-7"
2320260312030005,2026-03-14,取手,5,4,斉藤 樂,71.9,71.9,700,0,95390,False,2-5-6,"4-2-8,4-2-9,4-2-1,4-2-7"
2320260312030007,2026-03-14,取手,7,6,横山 尚則,70.6,74.1,2600,6020,6020,True,6-1-5,"6-5-1,6-5-2,6-1-5,6-2-5,6-7-1,6-1-7,6-1-8"
2320260312030008,2026-03-14,取手,8,3,林 大悟,82.4,82.4,1600,1300,1300,True,3-5-7,"3-2-7,3-5-8,3-7-5,3-5-7,3-5-6,3-2-5,3-5-2"
2620260312030007,2026-03-14,西武園,7,6,山田 駿斗,81.4,81.4,1400,0,7890,False,5-1-6,"6-4-7,6-4-8,6-5-4,6-4-5,6-4-9,6-3-9,6-4-3"
2620260312030009,2026-03-14,西武園,9,1,嶋津 拓弥,77.2,77.2,2700,0,59370,False,1-8-9,"1-9-5,1-5-9,1-9-3,1-5-2,1-7-9,1-3-9,1-5-7"
2320260312040005,2026-03-15,取手,5,3,島川 将貴,73.5,73.5,2100,11640,11640,True,3-7-5,"3-1-7,3-7-1,3-7-2,3-1-5,3-5-1,3-7-8,3-7-5"
2320260312040006,2026-03-15,取手,6,3,大塚 玲,73.7,74.0,2400,0,6020,False,9-3-5,"3-2-9,3-9-2,3-9-6,3-1-2,3-9-1,3-1-9,3-9-4"
2320260312040008,2026-03-15,取手,8,4,荒川 達郎,73.1,73.1,2500,0,1580,False,1-4-9,"4-7-8,4-8-5,4-8-7,4-8-3,4-8-2,4-5-6,4-7-6"
4420260325020008,2026-03-26,大垣,8,7,安彦 統賀,82.4,82.4,2600,0,7700,False,3-5-7,"7-2-4,7-4-2,7-2-5,7-2-1,7-4-5,7-1-2,7-2-3"
