race_id,date,venue,race_no,axis,axis_name,axis_ev,top_ev,invest,return,payout_100,hit,actual,bets
4420260228020005,2026-03-01,大垣,5,2,寺沼 拓摩,81.7,81.7,2700,0,97180,False,2-9-6,"2-5-1,2-5-7,2-5-3,2-5-9,2-1-5,2-7-5,2-9-5"
4420260228020006,2026-03-01,大垣,6,2,青野 将大,88.9,92.4,1700,0,3590,False,3-2-7,"2-3-5,2-3-7,2-5-3,2-7-3,2-5-4,2-5-1,2-5-7"
4420260228020007,2026-03-01,大垣,7,3,菅田 壱道,86.5,86.5,2500,0,1220,False,1-3-7,"3-1-5,3-7-5,3-1-9,3-9-1,3-1-4,3-1-2,3-2-1"
4420260228020008,2026-03-01,大垣,8,1,村田 雅一,80.8,85.4,1100,0,3320,False,7-1-5,"1-7-5,1-7-3,1-7-9,1-7-2,1-2-7,1-2-5"
4420260228020009,2026-03-01,大垣,9,3,嘉永 泰斗,90.4,90.4,2500,0,3320,False,7-3-1,"3-1-7,3-1-5,3-7-1,3-5-1,3-1-8,3-1-9,3-7-5"
4420260228020010,2026-03-01,大垣,10,5,山口 拳矢,91.0,91.0,2500,6250,6250,True,5-7-4,"5-9-7,5-9-1,5-9-4,5-7-9,5-1-9,5-9-3,5-9-2"
4420260228020011,2026-03-01,大垣,11,2,古性 優作,94.0,94.0,2700,0,17110,False,1-7-4,"2-4-9,2-4-1,2-9-4,2-4-5,2-1-4,2-5-4,2-9-8"
4420260228020012,2026-03-01,大垣,12,1,郡司 浩平,90.6,90.6,2300,0,660,False,1-9-7,"1-2-5,1-5-2,1-2-9,1-2-4,1-5-9,1-9-2,1-5-4"
4420260228030005,2026-03-02,大垣,5,9,佐々木 翔一,76.0,79.2,1100,0,11210,False,5-1-2,"9-3-5,9-3-1,9-5-3,9-3-7,9-3-2,9-7-3"
4420260228030006,2026-03-02,大垣,6,5,小森 貴大,82.2,82.2,2600,0,23400,False,4-9-5,"5-7-3,5-3-7,5-7-2,5-7-9,5-3-8,5-7-1,5-8-3"
4420260228030007,2026-03-02,大垣,7,9,寺沼 拓摩,83.3,83.3,1400,0,39400,False,2-1-8,"9-2-1,9-2-7,9-2-5,9-5-2,9-5-3,9-5-1,9-5-7"
4420260228030008,2026-03-02,大垣,8,7,久島 尚樹,80.7,80.7,1200,0,1870,False,9-7-1,"7-9-3,7-9-5,7-9-1,7-1-9,7-3-1,7-1-3,7-1-5"
4420260228030009,2026-03-02,大垣,9,8,佐藤 壮志,83.0,83.0,700,0,99960,False,8-2-9,"8-1-3,8-1-9,8-4-6,8-6-4"
4420260228030010,2026-03-02,大垣,10,1,古性 優作,94.4,94.4,2600,1620,1620,True,1-9-7,"1-7-3,1-3-7,1-7-5,1-7-9,1-7-2,1-9-7,1-2-7"
4420260228030011,2026-03-02,大垣,11,7,嘉永 泰斗,91.9,91.9,2400,0,1190,False,1-9-3,"7-1-2,7-1-3,7-1-5,7-1-9,7-2-1,7-3-1,7-5-1"
4420260228030012,2026-03-02,大垣,12,1,郡司 浩平,91.6,92.1,2700,8750,8750,True,1-9-5,"1-2-7,1-7-2,1-2-5,1-2-9,1-5-2,1-7-5,1-5-7"
7520260305010006,2026-03-05,松山,6,3,安彦 統賀,81.5,81.5,1200,0,450,False,7-1-5,"3-7-2,3-7-9,3-1-7,3-7-1,3-7-4,3-4-7,3-7-5"
7520260305010007,2026-03-05,松山,7,3,稲川 翔,84.1,84.1,2500,0,14770,False,9-3-7,"3-4-9,3-9-4,3-4-2,3-2-4,3-9-2,3-2-9,3-9-7"
7520260305010008,2026-03-05,松山,8,7,佐々木 豪,83.1,83.1,2500,0,4360,False,1-7-9,"7-5-1,7-1-5,7-5-4,7-5-9,7-5-3,7-1-4,7-5-8"
7520260305010009,2026-03-05,松山,9,9,山崎 賢人,88.6,88.6,2300,760,760,True,9-2-5,"9-2-1,9-2-7,9-1-2,9-7-2,9-2-5,9-1-7,9-7-1"
7520260305010010,2026-03-05,松山,10,3,佐藤 幸治,85.4,89.2,1700,0,1890,False,7-5-3,"3-5-7,3-5-9,3-7-5,3-9-5,3-9-2,3-7-9,3-9-7"
7520260305010011,2026-03-05,松山,11,1,松本 貴治,93.8,93.8,2400,0,330,False,7-1-5,"1-9-7,1-9-5,1-7-9,1-5-9,1-9-3,1-7-5,1-5-7"
7520260305010012,2026-03-05,松山,12,5,石原 颯,94.8,94.8,100,0,9110,False,2-7-1,5-3-2
7520260305020005,2026-03-06,松山,5,6,栗田 貴徳,64.6,74.4,2700,0,2020,False,9-7-2,"6-3-5,6-3-1,6-1-3,6-4-3,6-5-9,6-5-1,6-5-4"
7520260305020007,2026-03-06,松山,7,1,山崎 賢人,90.4,90.4,2000,0,2710,False,7-2-5,"1-7-2,1-7-9,1-2-7,1-9-7,1-2-3,1-9-3,1-2-5"
7520260305020008,2026-03-06,松山,8,3,新田 祐大,91.3,91.3,2300,0,71450,False,5-8-2,"3-1-2,3-1-8,3-8-1,3-1-9,3-9-1,3-5-2,3-1-5"
7520260305020009,2026-03-06,松山,9,3,寺崎 浩平,85.5,85.5,2600,0,8220,False,7-3-2,"3-1-9,3-9-1,3-1-2,3-2-1,3-9-2,3-2-9,3-1-5"
7520260305020010,2026-03-06,松山,10,8,朝倉 智仁,83.6,83.6,700,0,50600,False,8-7-1,"8-9-4,8-9-2,8-9-6,8-6-9"
7520260305020011,2026-03-06,松山,11,3,谷口 遼平,87.8,88.9,1100,0,1170,False,9-1-3,"3-9-1,3-9-5,3-5-9,3-8-4,3-8-6,3-6-8"
7520260305020012,2026-03-06,松山,12,1,犬伏 湧也,89.1,89.1,2600,1640,1640,True,1-5-8,"1-9-5,1-5-9,1-9-2,1-5-3,1-3-5,1-5-2,1-5-4"
7520260305030005,2026-03-07,松山,5,2,格清 洋介,80.3,80.3,1200,0,860,False,9-1-4,"2-9-1,2-9-5,2-5-9,2-9-3,2-9-4,2-5-3,2-5-6"
7520260305030006,2026-03-07,松山,6,6,山本 恵介,64.5,77.3,2700,0,1850,False,7-2-9,"6-7-1,6-7-5,6-1-7,6-4-7,6-7-8,6-5-7,6-4-2"
7520260305030007,2026-03-07,松山,7,1,小堺 浩二,82.8,82.8,2600,0,27030,False,2-9-5,"1-9-3,1-9-2,1-3-9,1-2-9,1-3-2,1-2-3,1-9-6"
7520260305030008,2026-03-07,松山,8,1,菅原 大也,83.6,83.6,1200,0,1640,False,9-7-3,"1-5-9,1-9-5,1-5-6,1-5-2,1-2-5,1-2-9,1-5-7"
7520260305030009,2026-03-07,松山,9,3,岡崎 智哉,75.7,75.7,2100,0,57510,False,9-2-1,"3-5-7,3-5-1,3-5-2,3-5-9,3-7-5,3-1-5,3-5-8"
7520260305030010,2026-03-07,松山,10,1,犬伏 湧也,89.1,89.1,1700,5200,5200,True,1-9-6,"1-2-7,1-2-3,1-2-9,1-9-2,1-9-4,1-9-6,1-9-7"
7520260305030011,2026-03-07,松山,11,5,新田 祐大,91.3,91.3,900,0,1540,False,1-7-5,"5-1-9,5-1-4,5-1-3,5-3-1,5-1-7"
7520260305030012,2026-03-07,松山,12,6,朝倉 智仁,87.8,87.8,900,0,340,False,1-9-5,"6-9-1,6-1-9,6-1-2,6-2-1,6-1-5"
7520260305040005,2026-03-08,松山,5,2,棚瀬 義大,70.5,70.5,2200,12870,12870,True,2-6-8,"2-7-1,2-1-7,2-3-5,2-3-7,2-6-7,2-3-8,2-8-3"
7520260305040006,2026-03-08,松山,6,7,谷口 遼平,82.7,82.7,1300,51800,7400,True,7-2-1,"7-2-1,7-2-5,7-3-2,7-2-3,7-3-9,7-4-6,7-2-8"
7520260305040007,2026-03-08,松山,7,5,松岡 辰泰,77.0,77.0,2600,0,1290,False,1-9-7,"5-1-9,5-1-2,5-9-1,5-2-1,5-1-6,5-9-2,5-2-9"
7520260305040008,2026-03-08,松山,8,7,西田 優大,82.1,82.1,1100,0,7420,False,9-1-3,"7-1-3,7-2-1,7-1-2,7-1-5,7-1-9,7-1-4"
7520260305040010,2026-03-08,松山,10,7,山崎 賢人,86.3,86.3,2600,0,12400,False,9-2-7,"7-8-2,7-8-1,7-8-9,7-8-5,7-2-8,7-1-8,7-9-8"
7520260305040011,2026-03-08,松山,11,3,稲川 翔,74.0,74.0,2100,0,460,False,7-3-2,"3-7-1,3-7-5,3-1-7,3-5-7,3-7-2,3-7-8,3-7-9"
7520260305040012,2026-03-08,松山,12,9,犬伏 湧也,89.2,89.2,1200,0,11040,False,1-4-8,"9-7-1,9-7-3,9-7-8,9-1-7,9-8-7,9-1-8,9-8-1"
2320260312010005,2026-03-12,取手,5,9,林 大悟,80.2,80.2,2700,790,790,True,9-1-5,"9-2-1,9-1-2,9-2-7,9-3-1,9-1-3,9-7-2,9-1-4"
2320260312010006,2026-03-12,取手,6,1,池田 良,78.1,78.1,1800,0,89050,False,8-3-5,"1-2-3,1-2-7,1-2-4,1-2-5,1-5-2,1-9-3,1-2-9"
2320260312010007,2026-03-12,取手,7,3,岸田 剛,77.5,77.5,1400,0,53680,False,3-5-9,"3-2-1,3-1-2,3-2-9,3-2-5,3-1-9,3-9-1,3-1-8"
2320260312010008,2026-03-12,取手,8,9,柴崎 淳,82.5,82.5,2600,0,252650,False,6-4-9,"9-3-1,9-1-3,9-3-4,9-3-7,9-3-2,9-3-8,9-7-3"
2320260312010009,2026-03-12,取手,9,2,志村 太賀,77.9,82.0,2600,0,60980,False,7-3-1,"2-7-1,2-7-9,2-7-4,2-1-7,2-7-3,2-9-7,2-4-7"
2320260312010010,2026-03-12,取手,10,5,内藤 宣彦,82.7,84.4,2500,0,960,False,3-5-9,"5-3-1,5-3-9,5-3-2,5-3-6,5-3-4,5-1-3,5-9-3"
2320260312010011,2026-03-12,取手,11,8,薦田 将伍,73.5,82.3,900,0,3510,False,1-9-3,"8-6-1,8-6-3,8-6-5,8-4-3,8-4-6"
2320260312010012,2026-03-12,取手,12,2,松浦 悠士,90.6,90.6,2400,0,246100,False,5-9-7,"2-4-1,2-6-4,2-7-5,2-5-7,2-4-3,2-1-4,2-3-4"
2620260312010005,2026-03-12,西武園,5,3,黒瀬 浩太郎,82.7,82.7,2600,0,27880,False,5-7-8,"3-2-9,3-9-2,3-6-2,3-6-4,3-2-5,3-6-9,3-5-2"
2620260312010006,2026-03-12,西武園,6,5,室井 蓮太朗,86.5,86.5,2600,0,7340,False,1-9-4,"5-9-2,5-2-9,5-9-3,5-9-4,5-3-9,5-2-3,5-3-2"
2620260312010007,2026-03-12,西武園,7,6,岡田 亮太,73.7,78.1,2600,0,332500,False,8-5-2,"6-1-3,6-1-4,6-4-1,6-9-1,6-1-5,6-3-9,6-9-4"
2620260312010008,2026-03-12,西武園,8,7,田中 大我,83.5,83.5,1500,3320,3320,True,7-3-1,"7-3-1,7-1-3,7-3-2,7-2-3,7-3-5,7-3-4,7-3-9"
2620260312010009,2026-03-12,西武園,9,3,昼田 達哉,84.0,84.0,300,0,6400,False,7-2-1,"3-5-4,3-4-5"
2620260312010011,2026-03-12,西武園,11,9,瓜生 崇智,84.3,84.3,2500,920,920,True,9-1-7,"9-5-1,9-1-5,9-5-2,9-2-5,9-1-2,9-2-1,9-1-6"
2620260312010012,2026-03-12,西武園,12,3,岩本 俊介,90.1,90.1,1700,0,46430,False,3-7-8,"3-8-2,3-2-8,3-9-8,3-6-5,3-9-7,3-5-6,3-2-9"
2320260312020005,2026-03-13,取手,5,9,水谷 好宏,71.8,71.8,2100,0,26780,False,9-3-1,"9-7-2,9-2-7,9-2-3,9-3-2,9-2-8,9-2-5,9-7-1"
2320260312020006,2026-03-13,取手,6,5,伊東 翔貴,77.1,80.7,500,0,5060,False,1-9-2,"5-8-1,5-1-6,5-4-2"
2320260312020007,2026-03-13,取手,7,3,嵯峨 昇喜郎,80.6,80.6,2500,0,3830,False,1-9-5,"3-9-7,3-9-1,3-7-9,3-1-9,3-7-8,3-7-1,3-1-7"
2320260312020008,2026-03-13,取手,8,6,田口 勇介,79.2,79.2,1500,0,11370,False,1-3-7,"6-4-5,6-2-4,6-2-8,6-8-2,6-4-8,6-8-4,6-9-8"
2320260312020009,2026-03-13,取手,9,1,林 大悟,82.4,82.4,900,0,1970,False,2-5-9,"1-5-9,1-2-9,1-5-2,1-2-5,1-5-6"
2320260312020010,2026-03-13,取手,10,2,緒方 将樹,81.7,81.7,2000,0,510,False,1-5-7,"2-1-5,2-5-1,2-1-9,2-9-1,2-1-8,2-9-5,2-1-7"
2320260312020011,2026-03-13,取手,11,1,小堀 敢太,85.0,85.0,2200,7960,7960,True,1-9-6,"1-2-9,1-9-2,1-7-9,1-9-7,1-9-4,1-5-9,1-9-5"
2320260312020012,2026-03-13,取手,12,1,松浦 悠士,85.5,85.5,2500,0,900,False,1-9-5,"1-8-2,1-2-8,1-4-9,1-9-4,1-8-9,1-6-4,1-9-8"
2620260312020005,2026-03-13,西武園,5,2,黒瀬 浩太郎,70.4,70.4,2500,810,810,True,2-7-1,"2-9-3,2-3-9,2-5-9,2-3-1,2-1-3,2-7-9,2-3-5"
2620260312020006,2026-03-13,西武園,6,1,大矢 将大,69.6,69.6,300,0,22830,False,3-6-5,"1-8-5,1-5-8"
2620260312020007,2026-03-13,西武園,7,6,山田 駿斗,81.4,81.4,1300,0,5710,False,5-2-1,"6-8-5,6-8-1,6-9-1,6-7-8,6-8-7,6-7-9,6-9-7"
2620260312020008,2026-03-13,西武園,8,5,瓜生 崇智,82.2,82.2,1000,0,1400,False,1-7-5,"5-1-7,5-7-1,5-8-9,5-8-6,5-4-6,5-8-4"
