race_id,venue,date,race_no,bets,invest,actual,payout,hit,return,top_scen,phase1,theo_prob_actual,n_scenarios
2420260131020006,宇都宮,2026-02-01,6,6,600,4-5-2,3790,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2420260131020007,宇都宮,2026-02-01,7,14,1400,4-6-5,6850,False,0,B_chaos×A_kamashi×B_maenokori,B_chaos,0.0,24
2420260131020008,宇都宮,2026-02-01,8,6,600,3-1-7,3810,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
2420260131020009,宇都宮,2026-02-01,9,6,600,1-3-6,14030,True,14030,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.13178,6
2420260131020010,宇都宮,2026-02-01,10,14,1400,2-4-3,1320,True,1320,C_slow×A_kamashi×A_bante_diff,C_slow,0.03073,24
2420260131020011,宇都宮,2026-02-01,11,6,600,2-5-1,6420,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2420260131020012,宇都宮,2026-02-01,12,14,1400,1-3-2,20050,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,24
4720260201010008,松阪,2026-02-01,8,6,600,3-6-1,5620,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4720260201010009,松阪,2026-02-01,9,6,600,3-1-4,27660,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4720260201010010,松阪,2026-02-01,10,6,600,5-2-1,5820,True,5820,C_slow×A_kamashi×A_bante_diff,C_slow,0.30028,12
4720260201010011,松阪,2026-02-01,11,6,600,4-6-2,25260,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4720260201010012,松阪,2026-02-01,12,14,1400,2-7-1,12440,False,0,C_slow×A_kamashi×B_maenokori,C_slow,0.0,24
7320260129040001,小松島,2026-02-01,1,6,600,4-7-3,2610,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
7320260129040002,小松島,2026-02-01,2,6,600,4-3-7,5970,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
7320260129040003,小松島,2026-02-01,3,6,600,5-2-8,8570,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
7320260129040004,小松島,2026-02-01,4,6,600,7-1-9,4500,True,4500,C_slow×A_kamashi×A_bante_diff,C_slow,0.31579,6
7320260129040005,小松島,2026-02-01,5,6,600,3-9-8,9790,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
7320260129040006,小松島,2026-02-01,6,6,600,5-4-7,3270,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
7320260129040007,小松島,2026-02-01,7,6,600,1-5-6,6130,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
7320260129040008,小松島,2026-02-01,8,6,600,5-1-4,910,False,0,B_chaos×B_back×A_bante_diff,B_chaos,0.0,6
7320260129040009,小松島,2026-02-01,9,6,600,1-7-6,7520,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
7320260129040010,小松島,2026-02-01,10,6,600,1-4-2,1660,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
7320260129040011,小松島,2026-02-01,11,6,600,7-2-4,5470,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
7320260129040012,小松島,2026-02-01,12,6,600,2-3-8,3820,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,12
2420260131030005,宇都宮,2026-02-02,5,6,600,1-6-4,8580,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2420260131030006,宇都宮,2026-02-02,6,6,600,7-6-5,36080,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
2420260131030007,宇都宮,2026-02-02,7,6,600,7-1-3,13270,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2420260131030008,宇都宮,2026-02-02,8,6,600,2-5-4,5950,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
2420260131030009,宇都宮,2026-02-02,9,6,600,3-2-5,13580,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2420260131030010,宇都宮,2026-02-02,10,6,600,2-3-7,6680,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2420260131030012,宇都宮,2026-02-02,12,6,600,2-7-3,34220,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4720260201020008,松阪,2026-02-02,8,6,600,2-7-5,530,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4720260201020009,松阪,2026-02-02,9,2,200,1-2-7,2980,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,18
4720260201020010,松阪,2026-02-02,10,6,600,4-2-1,2880,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
4720260201020011,松阪,2026-02-02,11,6,600,1-7-3,2280,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4720260201020012,松阪,2026-02-02,12,14,1400,5-1-2,660,False,0,C_slow×A_kamashi×B_maenokori,C_slow,0.0,24
2720260203010006,京王閣,2026-02-03,6,6,600,7-1-2,860,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
2720260203010007,京王閣,2026-02-03,7,2,200,2-1-4,8580,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,18
2720260203010008,京王閣,2026-02-03,8,6,600,2-3-6,45210,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2720260203010009,京王閣,2026-02-03,9,6,600,2-4-6,3620,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
2720260203010010,京王閣,2026-02-03,10,6,600,7-6-1,9130,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2720260203010011,京王閣,2026-02-03,11,6,600,4-1-7,830,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
2720260203010012,京王閣,2026-02-03,12,6,600,1-5-2,2150,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,12
4720260201030006,松阪,2026-02-03,6,6,600,1-4-5,3490,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
