race_id,venue,date,is_chaos,actual,A_bet,A_hit,A_invest,A_return,B_bet,B_hit,B_invest,B_return,A_only_hit,B_only_hit,both_hit
2420260131020006,宇都宮,2026-02-01,False,4-5-2,0,0,0,0,1,1,2400,3790,0,1,0
2420260131020007,宇都宮,2026-02-01,False,4-6-5,1,1,2600,6850,1,1,2600,6850,0,0,1
2420260131020008,宇都宮,2026-02-01,False,3-1-7,1,1,2700,3810,1,1,2700,3810,0,0,1
2420260131020009,宇都宮,2026-02-01,True,1-3-6,0,0,0,0,0,0,0,0,0,0,0
2420260131020010,宇都宮,2026-02-01,True,2-4-3,0,0,0,0,0,0,0,0,0,0,0
2420260131020011,宇都宮,2026-02-01,True,2-5-1,0,0,0,0,0,0,0,0,0,0,0
2420260131020012,宇都宮,2026-02-01,True,1-3-2,0,0,0,0,0,0,0,0,0,0,0
4720260201010008,松阪,2026-02-01,False,3-6-1,0,0,0,0,0,0,0,0,0,0,0
4720260201010009,松阪,2026-02-01,True,3-1-4,0,0,0,0,0,0,0,0,0,0,0
4720260201010010,松阪,2026-02-01,True,5-2-1,0,0,0,0,0,0,0,0,0,0,0
4720260201010011,松阪,2026-02-01,True,4-6-2,0,0,0,0,0,0,0,0,0,0,0
4720260201010012,松阪,2026-02-01,False,2-7-1,1,0,2600,0,1,0,2600,0,0,0,0
7320260129040001,小松島,2026-02-01,False,4-7-3,0,0,0,0,0,0,0,0,0,0,0
7320260129040002,小松島,2026-02-01,False,4-3-7,0,0,0,0,0,0,0,0,0,0,0
7320260129040003,小松島,2026-02-01,False,5-2-8,0,0,0,0,0,0,0,0,0,0,0
7320260129040004,小松島,2026-02-01,True,7-1-9,0,0,0,0,0,0,0,0,0,0,0
7320260129040005,小松島,2026-02-01,True,3-9-8,0,0,0,0,0,0,0,0,0,0,0
7320260129040006,小松島,2026-02-01,False,5-4-7,0,0,0,0,0,0,0,0,0,0,0
7320260129040007,小松島,2026-02-01,True,1-5-6,0,0,0,0,0,0,0,0,0,0,0
7320260129040008,小松島,2026-02-01,True,5-1-4,0,0,0,0,0,0,0,0,0,0,0
7320260129040009,小松島,2026-02-01,True,1-7-6,0,0,0,0,0,0,0,0,0,0,0
7320260129040010,小松島,2026-02-01,False,1-4-2,0,0,0,0,0,0,0,0,0,0,0
7320260129040011,小松島,2026-02-01,True,7-2-4,0,0,0,0,0,0,0,0,0,0,0
7320260129040012,小松島,2026-02-01,True,2-3-8,0,0,0,0,0,0,0,0,0,0,0
2420260131030005,宇都宮,2026-02-02,True,1-6-4,0,0,0,0,0,0,0,0,0,0,0
2420260131030006,宇都宮,2026-02-02,False,7-6-5,1,0,2500,0,1,0,2400,0,0,0,0
2420260131030007,宇都宮,2026-02-02,False,7-1-3,1,0,2600,0,1,0,2600,0,0,0,0
2420260131030008,宇都宮,2026-02-02,False,2-5-4,1,0,2600,0,1,0,2600,0,0,0,0
2420260131030009,宇都宮,2026-02-02,True,3-2-5,0,0,0,0,0,0,0,0,0,0,0
2420260131030010,宇都宮,2026-02-02,True,2-3-7,0,0,0,0,0,0,0,0,0,0,0
2420260131030012,宇都宮,2026-02-02,True,2-7-3,0,0,0,0,0,0,0,0,0,0,0
4720260201020008,松阪,2026-02-02,False,2-7-5,1,1,2600,3180,1,1,2400,530,0,0,1
4720260201020009,松阪,2026-02-02,False,1-2-7,1,0,2200,0,1,0,2500,0,0,0,0
4720260201020010,松阪,2026-02-02,True,4-2-1,0,0,0,0,0,0,0,0,0,0,0
4720260201020011,松阪,2026-02-02,True,1-7-3,0,0,0,0,0,0,0,0,0,0,0
4720260201020012,松阪,2026-02-02,True,5-1-2,0,0,0,0,0,0,0,0,0,0,0
2720260203010006,京王閣,2026-02-03,True,7-1-2,0,0,0,0,0,0,0,0,0,0,0
2720260203010007,京王閣,2026-02-03,True,2-1-4,0,0,0,0,0,0,0,0,0,0,0
2720260203010008,京王閣,2026-02-03,False,2-3-6,1,0,2500,0,1,0,2500,0,0,0,0
2720260203010009,京王閣,2026-02-03,True,2-4-6,0,0,0,0,0,0,0,0,0,0,0
2720260203010010,京王閣,2026-02-03,True,7-6-1,0,0,0,0,0,0,0,0,0,0,0
2720260203010011,京王閣,2026-02-03,False,4-1-7,1,1,2500,830,1,1,2400,830,0,0,1
2720260203010012,京王閣,2026-02-03,True,1-5-2,0,0,0,0,0,0,0,0,0,0,0
4720260201030006,松阪,2026-02-03,False,1-4-5,1,1,2500,3490,1,0,2600,0,1,0,0
4720260201030007,松阪,2026-02-03,False,5-7-6,1,0,2400,0,1,0,2500,0,0,0,0
4720260201030008,松阪,2026-02-03,True,5-3-6,0,0,0,0,0,0,0,0,0,0,0
4720260201030009,松阪,2026-02-03,False,6-1-7,1,0,2600,0,1,0,2700,0,0,0,0
4720260201030012,松阪,2026-02-03,False,4-7-1,1,0,2500,0,1,0,2500,0,0,0,0
2720260203020006,京王閣,2026-02-04,False,3-4-7,0,0,0,0,1,0,2500,0,0,0,0
2720260203020007,京王閣,2026-02-04,False,5-2-3,1,1,2500,48800,1,1,2600,12200,0,0,1
