min_ev,skip_chaos,skip_low,n,hits,hr,roi,profit,gami_rate,roi_ex1,roi_ex3,stability
70,True,True,84,21,25.0,197.5,208650,33.33333333333333,113.63084112149534,43.30373831775701,57.534603099491314
65,True,True,101,27,26.732673267326735,170.2225693088637,179840,40.74074074074074,100.14057008980868,41.37446310035143,58.829196678441996
60,True,True,105,29,27.61904761904762,165.9774011299435,175170,41.37931034482759,98.37664783427496,41.69114877589454,59.27110990083283
50,True,True,108,29,26.851851851851855,161.89199118295372,168470,41.37931034482759,95.95518001469507,40.66495224099926,59.27110990083282
55,True,True,108,29,26.851851851851855,161.89199118295372,168470,41.37931034482759,95.95518001469507,40.66495224099926,59.27110990083282
45,True,True,110,30,27.27272727272727,159.3856161908204,164320,43.333333333333336,94.5211420310806,40.130104806649804,59.30343295088658
0,True,True,112,32,28.57142857142857,157.7209797657082,162600,43.75,94.00780972665956,40.582179623713174,59.603871258158904
40,True,True,112,32,28.57142857142857,157.7209797657082,162600,43.75,94.00780972665956,40.582179623713174,59.603871258158904
70,False,True,242,62,25.6198347107438,155.08210047146804,338810,30.64516129032258,125.9031051861486,84.08876605430011,81.1848077910914
65,False,True,259,68,26.254826254826252,147.16981132075472,310000,33.82352941176471,119.86001217285454,80.7242848447961,81.44334160463193
60,False,True,263,70,26.61596958174905,145.80408040804082,305330,34.285714285714285,118.87938793879388,80.29552955295529,81.53364954266253
50,False,True,266,70,26.31578947368421,144.3531858012773,298630,34.285714285714285,117.69642061488193,79.49650972820437,81.53364954266253
55,False,True,266,70,26.31578947368421,144.3531858012773,298630,34.285714285714285,117.69642061488193,79.49650972820437,81.53364954266253
45,False,True,268,71,26.492537313432834,143.44644437887283,294480,35.2112676056338,116.96665683092358,79.02035998819711,81.54029703377628
0,False,True,270,73,27.037037037037038,142.8763913298184,292760,35.61643835616438,116.59050966608085,78.92208553016988,81.60236172044773
40,False,True,270,73,27.037037037037038,142.8763913298184,292760,35.61643835616438,116.59050966608085,78.92208553016988,81.60236172044773
70,False,False,441,108,24.489795918367346,134.53604568165596,387080,36.11111111111111,117.28765167737329,89.51998572448251,87.17935114200067
65,False,False,474,117,24.68354430379747,127.0703709865247,325440,37.60683760683761,110.98985193811346,85.10231242721676,87.34518603859549
60,False,False,482,120,24.896265560165975,126.05211406096362,317940,37.5,110.21140609636184,84.70993117010816,87.43320722337064
50,False,False,485,120,24.742268041237114,125.36386602558878,311240,37.5,109.60964876538179,84.2474125988102,87.43320722337064
55,False,False,485,120,24.742268041237114,125.36386602558878,311240,37.5,109.60964876538179,84.2474125988102,87.43320722337064
45,False,False,487,121,24.84599589322382,124.9342318934719,307090,38.01652892561984,109.23757713543358,83.96800909386164,87.43606574423698
0,False,False,489,123,25.153374233128833,124.6943231441048,305370,38.21138211382114,109.06113537117903,83.89374090247452,87.46279110488531
40,False,False,489,123,25.153374233128833,124.6943231441048,305370,38.21138211382114,109.06113537117903,83.89374090247452,87.46279110488531
70,True,False,177,41,23.163841807909606,123.28669775705086,104860,39.02439024390244,83.42882522762602,50.006662225183206,67.67058145399524
65,True,False,209,50,23.923444976076556,108.6805293005671,45920,42.0,74.75236294896031,46.30245746691872,68.78174354692828
60,True,False,217,53,24.42396313364055,107.02119883040935,38420,41.509433962264154,74.22149122807018,46.71783625730994,69.35213961271816
50,True,False,220,53,24.09090909090909,105.72666546307998,31720,41.509433962264154,73.32370463982669,46.15273515074923,69.35213961271815
55,True,False,220,53,24.09090909090909,105.72666546307998,31720,41.509433962264154,73.32370463982669,46.15273515074923,69.35213961271815
45,True,False,222,54,24.324324324324326,104.93732091690543,27570,42.592592592592595,72.79548710601719,45.84348137535817,69.3704455859515
0,True,False,224,56,25.0,104.58821441249557,25850,42.857142857142854,72.73162939297124,46.01881434149805,69.54094187526516
40,True,False,224,56,25.0,104.58821441249557,25850,42.857142857142854,72.73162939297124,46.01881434149805,69.54094187526516
