sort,min_ev,max_n,n,hits,hr,roi,profit,gami_rate,roi_ex1,avg_bets,skipped
ev,0.0,14,242,53,21.90082644628099,156.8319245773732,349630,22.641509433962266,127.65767230169051,25.421487603305785,0
prob,0.0,14,242,62,25.6198347107438,155.08210047146804,338810,30.64516129032258,125.9031051861486,25.417355371900825,0
ev,0.0,10,242,38,15.702479338842975,157.73773541036968,248330,15.789473684210526,127.93071378749129,17.772727272727273,0
prob,0.0,10,242,42,17.355371900826448,149.55338450802512,213030,28.57142857142857,119.73249592928588,17.764462809917354,0
ev,0.0,7,242,26,10.743801652892563,163.9249146757679,187300,3.8461538461538463,133.29692832764505,12.107438016528926,0
prob,0.0,7,242,27,11.15702479338843,157.4607508532423,168360,11.11111111111111,126.83276450511944,12.107438016528926,0
ev,0.3,10,199,18,9.045226130653267,202.26777706598335,159640,0.0,152.9916720051249,7.844221105527638,43
prob,0.3,7,199,16,8.040201005025125,211.1896431070679,158890,0.0,157.36179146256123,7.180904522613066,43
ev,0.3,7,199,15,7.537688442211055,209.52414275717283,156510,0.0,155.69629111266622,7.180904522613066,43
prob,0.3,14,199,18,9.045226130653267,193.46813725490196,152540,0.0,146.3357843137255,8.201005025125628,43
ev,0.3,14,199,18,9.045226130653267,193.34966319657073,152440,0.0,146.24617268830374,8.206030150753769,43
prob,0.3,10,199,17,8.542713567839195,196.26923076923077,150180,0.0,146.96153846153845,7.839195979899498,43
prob,0.3,5,199,16,8.040201005025125,214.11129568106313,137390,0.0,160.87209302325581,6.050251256281407,43
ev,0.3,5,199,14,7.035175879396985,210.48132780082986,133130,0.0,157.2863070539419,6.055276381909548,43
prob,0.0,5,242,20,8.264462809917356,163.01275760549558,128420,0.0,131.5603532875368,8.421487603305785,0
ev,0.0,5,242,17,7.024793388429752,161.74914257716807,126030,0.0,130.34296913277805,8.433884297520661,0
ev,0.8,7,194,11,5.670103092783505,211.12874779541445,126020,0.0,143.29805996472663,5.845360824742268,48
prob,0.8,7,194,11,5.670103092783505,210.94273127753303,125920,0.0,143.1718061674009,5.850515463917525,48
ev,0.5,10,195,13,6.666666666666667,190.62682215743442,124340,0.0,134.56268221574342,7.035897435897436,47
ev,0.5,7,195,12,6.153846153846154,195.18202943454685,122880,0.0,135.6003098373354,6.62051282051282,47
prob,0.5,7,195,12,6.153846153846154,195.030959752322,122780,0.0,135.4953560371517,6.625641025641026,47
prob,0.8,10,194,11,5.670103092783505,204.9828767123288,122620,0.0,139.12671232876713,6.020618556701031,48
ev,0.8,10,194,11,5.670103092783505,204.80752780153978,122520,0.0,139.0076988879384,6.025773195876289,48
prob,0.8,14,194,11,5.670103092783505,202.89830508474574,121420,0.0,137.71186440677968,6.082474226804123,48
ev,0.8,14,194,11,5.670103092783505,202.89830508474574,121420,0.0,137.71186440677968,6.082474226804123,48
prob,0.5,14,195,13,6.666666666666667,186.14946619217082,121040,0.0,131.40213523131672,7.205128205128205,47
ev,0.5,14,195,13,6.666666666666667,186.14946619217082,121040,0.0,131.40213523131672,7.205128205128205,47
prob,0.5,10,195,12,6.153846153846154,183.7928519328957,114880,0.0,127.68781911013858,7.030769230769231,47
prob,1.0,5,193,11,5.699481865284974,217.53608247422682,114010,0.0,151.4536082474227,5.025906735751295,49
ev,1.0,5,193,11,5.699481865284974,217.53608247422682,114010,0.0,151.4536082474227,5.025906735751295,49
prob,0.5,5,195,12,6.153846153846154,199.79445933869528,111670,0.0,142.5111706881144,5.7384615384615385,47
ev,0.5,5,195,12,6.153846153846154,199.79445933869528,111670,0.0,142.5111706881144,5.7384615384615385,47
prob,2.0,5,184,9,4.891304347826087,243.58072916666669,110270,0.0,176.80989583333334,4.173913043478261,58
ev,2.0,5,184,9,4.891304347826087,243.26397919375813,110170,0.0,176.57997399219767,4.179347826086956,58
prob,0.8,5,194,11,5.670103092783505,206.2658846529814,108710,0.0,143.60703812316714,5.27319587628866,48
ev,0.8,5,194,11,5.670103092783505,206.2658846529814,108710,0.0,143.60703812316714,5.27319587628866,48
prob,1.5,5,188,9,4.787234042553192,225.2097902097902,107430,0.0,165.44289044289044,4.5638297872340425,54
ev,1.5,5,188,9,4.787234042553192,225.2097902097902,107430,0.0,165.44289044289044,4.5638297872340425,54
prob,2.0,7,184,9,4.891304347826087,233.54556803995007,106970,0.0,169.5255930087391,4.353260869565218,58
ev,2.0,7,184,9,4.891304347826087,233.54556803995007,106970,0.0,169.5255930087391,4.353260869565218,58
ev,1.0,7,193,11,5.699481865284974,200.77069457659374,105910,0.0,139.78116079923882,5.44559585492228,49
prob,2.0,14,184,9,4.891304347826087,230.38177339901478,105870,0.0,167.22906403940888,4.413043478260869,58
prob,2.0,10,184,9,4.891304347826087,230.38177339901478,105870,0.0,167.22906403940888,4.413043478260869,58
