engine,param,n,hits,hr,invest,ret,profit,roi
EngineA,-,84,22,26.190476190476193,213700,412810,199110,193.17267197005148
EngineB(LC=0.05),LINE_CORR=0.05,84,22,26.190476190476193,213700,412810,199110,193.17267197005148
EngineB(LC=0.10),LINE_CORR=0.10,84,22,26.190476190476193,213700,412810,199110,193.17267197005148
EngineB(LC=0.15),LINE_CORR=0.15,84,22,26.190476190476193,213600,412810,199210,193.2631086142322
EngineB(LC=0.20),LINE_CORR=0.20,84,22,26.190476190476193,213700,412810,199110,193.17267197005148
EngineB(LC=0.25),LINE_CORR=0.25,84,22,26.190476190476193,213800,412810,199010,193.08231992516372
EngineB(LC=0.30),LINE_CORR=0.30,84,23,27.380952380952383,213800,402660,188860,188.33489242282505
EngineB(LC=0.35),LINE_CORR=0.35,84,23,27.380952380952383,213800,402660,188860,188.33489242282505
EngineB(LC=0.40),LINE_CORR=0.40,84,23,27.380952380952383,213900,369840,155940,172.90322580645162
EngineB(LC=0.45),LINE_CORR=0.45,84,23,27.380952380952383,213900,369840,155940,172.90322580645162
EngineB(LC=0.50),LINE_CORR=0.50,84,23,27.380952380952383,214000,369840,155840,172.82242990654206
EngineC(σ=0.50),SIGMA=0.50,84,18,21.428571428571427,215700,418620,202920,194.0751043115438
EngineC(σ=0.55),SIGMA=0.55,84,18,21.428571428571427,216000,407680,191680,188.74074074074073
EngineC(σ=0.60),SIGMA=0.60,84,18,21.428571428571427,215800,396740,180940,183.84615384615384
EngineC(σ=0.65),SIGMA=0.65,84,19,22.61904761904762,215800,405700,189900,187.99814643188137
EngineC(σ=0.70),SIGMA=0.70,84,19,22.61904761904762,215500,399540,184040,185.4013921113689
EngineC(σ=0.75),SIGMA=0.75,84,19,22.61904761904762,215400,399540,184140,185.4874651810585
EngineC(σ=0.80),SIGMA=0.80,84,19,22.61904761904762,215100,399540,184440,185.74616457461644
EngineC(σ=0.85),SIGMA=0.85,84,20,23.809523809523807,214400,412790,198390,192.53264925373134
EngineC(σ=0.90),SIGMA=0.90,84,21,25.0,214000,422650,208650,197.5
EngineC(σ=0.95),SIGMA=0.95,84,21,25.0,213600,409830,196230,191.86797752808988
EngineC(σ=1.00),SIGMA=1.00,84,22,26.190476190476193,213700,412810,199110,193.17267197005148
HybridAB(LC=0.05),LINE_CORR=0.05,84,22,26.190476190476193,213700,412810,199110,193.17267197005148
HybridAB(LC=0.10),LINE_CORR=0.10,84,22,26.190476190476193,213700,412810,199110,193.17267197005148
HybridAB(LC=0.15),LINE_CORR=0.15,84,22,26.190476190476193,213600,412810,199210,193.2631086142322
HybridAB(LC=0.20),LINE_CORR=0.20,84,22,26.190476190476193,213700,412810,199110,193.17267197005148
HybridAB(LC=0.25),LINE_CORR=0.25,84,22,26.190476190476193,213800,412810,199010,193.08231992516372
HybridAB(LC=0.30),LINE_CORR=0.30,84,23,27.380952380952383,213800,402660,188860,188.33489242282505
HybridAB(LC=0.35),LINE_CORR=0.35,84,23,27.380952380952383,213800,402660,188860,188.33489242282505
HybridAB(LC=0.40),LINE_CORR=0.40,84,23,27.380952380952383,213900,369840,155940,172.90322580645162
HybridAB(LC=0.45),LINE_CORR=0.45,84,23,27.380952380952383,213900,369840,155940,172.90322580645162
HybridAB(LC=0.50),LINE_CORR=0.50,84,23,27.380952380952383,214000,369840,155840,172.82242990654206
