的中No,race_id,日付,venue,決着,決着オッズ,買い目順位,組み合わせ,EV,配分(円),的中フラグ,回収(円),総投資(円)
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,1,"=""2-5-4""",68.9913,500,1,64100,900
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,2,"=""2-5-6""",16.1826,100,0,0,900
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,3,"=""2-5-1""",3.2832,100,0,0,900
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,4,"=""2-6-5""",1.6974,100,0,0,900
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,5,"=""2-5-7""",1.1088,100,0,0,900
2,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,1,"=""5-2-1""",69.6184,600,1,88320,1600
2,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,2,"=""5-1-2""",49.4295,300,0,0,1600
2,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,3,"=""5-2-7""",5.6799,100,0,0,1600
2,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,4,"=""5-2-4""",4.0046,100,0,0,1600
2,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,5,"=""5-1-4""",3.46,100,0,0,1600
2,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,6,"=""5-7-2""",2.7986,100,0,0,1600
2,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,7,"=""5-4-2""",1.6675,100,0,0,1600
2,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,8,"=""5-4-1""",1.4804,100,0,0,1600
2,"=""4320260207030006""","=""2026-02-09""",岐阜,"=""5-2-1""",14720.0,9,"=""5-1-7""",1.0165,100,0,0,1600
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,1,"=""6-1-4""",57.0545,600,1,65640,1200
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,2,"=""1-6-4""",28.8733,100,0,0,1200
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,3,"=""6-4-1""",10.908,100,0,0,1200
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,4,"=""4-6-1""",4.2162,100,0,0,1200
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,5,"=""6-1-2""",3.1455,100,0,0,1200
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,6,"=""1-6-2""",2.8154,100,0,0,1200
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,7,"=""1-4-6""",1.0602,100,0,0,1200
4,"=""2420260214010008""","=""2026-02-14""",宇都宮,"=""1-7-4""",13250.0,1,"=""1-7-4""",75.4253,200,1,26500,300
4,"=""2420260214010008""","=""2026-02-14""",宇都宮,"=""1-7-4""",13250.0,2,"=""1-4-7""",12.0724,100,0,0,300
5,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,1,"=""1-5-4""",21.0981,600,0,0,1100
5,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,2,"=""5-1-7""",2.8503,100,0,0,1100
5,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,3,"=""1-5-7""",2.393,100,0,0,1100
5,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,4,"=""5-7-1""",2.1793,100,1,8140,1100
5,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,5,"=""7-5-1""",1.5903,100,0,0,1100
5,"=""3820260212030001""","=""2026-02-14""",静岡,"=""5-7-1""",8140.0,6,"=""7-1-5""",1.2454,100,0,0,1100
6,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,1,"=""3-7-1""",7.3177,400,0,0,700
6,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,2,"=""3-7-5""",3.3347,100,0,0,700
6,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,3,"=""7-3-1""",1.8973,100,1,790,700
6,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,4,"=""7-3-5""",1.216,100,0,0,700
7,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,1,"=""3-5-4""",4.3221,500,0,0,1000
7,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,2,"=""3-5-2""",2.201,100,0,0,1000
7,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,3,"=""5-3-4""",1.8596,100,0,0,1000
7,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,4,"=""3-4-9""",1.6533,100,0,0,1000
7,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,5,"=""3-4-5""",1.5432,100,1,3420,1000
7,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,6,"=""3-2-5""",1.1251,100,0,0,1000
