的中No,race_id,日付,venue,決着,決着オッズ,買い目順位,組み合わせ,EV,配分(円),的中フラグ,回収(円),総投資(円)
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,1,"=""2-5-4""",68.9913,600,1,76920,1200
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,2,"=""2-5-6""",16.1826,100,0,0,1200
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,3,"=""2-5-1""",3.2832,100,0,0,1200
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,4,"=""2-5-7""",1.1088,100,0,0,1200
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,5,"=""2-6-5""",1.6974,100,0,0,1200
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,6,"=""2-5-3""",0.2841,100,0,0,1200
1,"=""2720260203020009""","=""2026-02-04""",京王閣,"=""2-5-4""",12820.0,7,"=""2-1-5""",0.2739,100,0,0,1200
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,1,"=""3-5-4""",4.9915,100,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,2,"=""3-5-6""",4.6336,100,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,3,"=""5-3-4""",3.179,100,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,4,"=""3-5-1""",1.0211,100,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,5,"=""3-4-5""",4.2676,100,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,6,"=""5-3-6""",3.7767,100,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,7,"=""3-6-5""",5.1691,800,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,8,"=""5-3-1""",1.3445,100,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,9,"=""3-5-2""",0.3484,100,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,10,"=""4-3-5""",3.4212,100,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,11,"=""3-1-5""",0.766,100,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,12,"=""5-3-2""",0.359,100,1,2470,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,13,"=""5-4-3""",1.3612,100,0,0,2100
2,"=""2820260209010008""","=""2026-02-09""",立川,"=""5-3-2""",2470.0,14,"=""3-2-5""",0.3774,100,0,0,2100
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,1,"=""6-1-4""",57.0545,700,1,76580,1600
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,2,"=""1-6-4""",28.8733,200,0,0,1600
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,3,"=""6-4-1""",10.908,100,0,0,1600
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,4,"=""6-1-2""",3.1455,100,0,0,1600
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,5,"=""4-6-1""",4.2162,100,0,0,1600
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,6,"=""1-6-2""",2.8154,100,0,0,1600
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,7,"=""1-4-6""",1.0602,100,0,0,1600
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,8,"=""4-1-6""",0.8248,100,0,0,1600
3,"=""8620260212020007""","=""2026-02-13""",別府,"=""6-1-4""",10940.0,9,"=""6-2-1""",0.2531,100,0,0,1600
4,"=""2420260214010008""","=""2026-02-14""",宇都宮,"=""1-7-4""",13250.0,1,"=""1-7-4""",75.4253,300,1,39750,500
4,"=""2420260214010008""","=""2026-02-14""",宇都宮,"=""1-7-4""",13250.0,2,"=""1-4-7""",12.0724,100,0,0,500
4,"=""2420260214010008""","=""2026-02-14""",宇都宮,"=""1-7-4""",13250.0,3,"=""1-4-5""",0.1685,100,0,0,500
5,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,1,"=""3-7-1""",7.3177,700,0,0,1500
5,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,2,"=""7-3-1""",1.8973,100,1,790,1500
5,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,3,"=""3-7-5""",3.3347,100,0,0,1500
5,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,4,"=""3-7-4""",0.4285,100,0,0,1500
5,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,5,"=""7-3-5""",1.216,100,0,0,1500
5,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,6,"=""7-3-4""",0.1592,100,0,0,1500
5,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,7,"=""3-7-2""",0.4323,100,0,0,1500
5,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,8,"=""7-3-2""",0.2165,100,0,0,1500
5,"=""2320260217020007""","=""2026-02-18""",取手,"=""7-3-1""",790.0,9,"=""3-1-7""",0.3991,100,0,0,1500
6,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,1,"=""3-5-4""",4.3221,600,0,0,1200
6,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,2,"=""3-5-2""",2.201,100,0,0,1200
6,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,3,"=""3-4-5""",1.5432,100,1,3420,1200
6,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,4,"=""5-3-4""",1.8596,100,0,0,1200
6,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,5,"=""3-2-5""",1.1251,100,0,0,1200
6,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,6,"=""3-4-9""",1.6533,100,0,0,1200
6,"=""8720260220030001""","=""2026-02-22""",熊本,"=""3-4-5""",3420.0,7,"=""5-3-2""",0.5726,100,0,0,1200
7,"=""4520260223010007""","=""2026-02-23""",豊橋,"=""3-7-4""",6130.0,1,"=""3-1-7""",27.1931,200,0,0,2000
7,"=""4520260223010007""","=""2026-02-23""",豊橋,"=""3-7-4""",6130.0,2,"=""3-7-1""",57.7029,900,0,0,2000
7,"=""4520260223010007""","=""2026-02-23""",豊橋,"=""3-7-4""",6130.0,3,"=""3-1-2""",8.22,100,0,0,2000
7,"=""4520260223010007""","=""2026-02-23""",豊橋,"=""3-7-4""",6130.0,4,"=""3-2-1""",8.6122,100,0,0,2000
7,"=""4520260223010007""","=""2026-02-23""",豊橋,"=""3-7-4""",6130.0,5,"=""1-3-7""",4.8178,100,0,0,2000
7,"=""4520260223010007""","=""2026-02-23""",豊橋,"=""3-7-4""",6130.0,6,"=""3-1-4""",0.2023,100,0,0,2000
7,"=""4520260223010007""","=""2026-02-23""",豊橋,"=""3-7-4""",6130.0,7,"=""3-7-4""",0.6255,100,1,6130,2000
7,"=""4520260223010007""","=""2026-02-23""",豊橋,"=""3-7-4""",6130.0,8,"=""1-3-2""",1.1286,100,0,0,2000
7,"=""4520260223010007""","=""2026-02-23""",豊橋,"=""3-7-4""",6130.0,9,"=""3-4-1""",0.0569,100,0,0,2000
7,"=""4520260223010007""","=""2026-02-23""",豊橋,"=""3-7-4""",6130.0,10,"=""3-4-7""",0.0512,100,0,0,2000
7,"=""4520260223010007""","=""2026-02-23""",豊橋,"=""3-7-4""",6130.0,11,"=""2-3-1""",0.873,100,0,0,2000
