的中No,race_id,日付,venue,決着,決着オッズ,買い目順位,組み合わせ,EV,配分(円),的中フラグ,回収(円),総投資(円)
1,4720260201020008,2026-02-02,松阪,2-7-5,530,1,2-7-5,3.0124,600,1,3180,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,2,2-5-7,3.134,800,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,3,2-7-1,0.0386,100,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,4,2-7-3,0.0317,100,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,5,2-5-1,0.0881,100,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,6,2-1-7,0.0451,100,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,7,2-5-3,0.0465,100,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,8,2-1-5,0.083,100,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,9,2-3-7,0.0307,100,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,10,2-3-5,0.0372,100,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,11,2-7-4,0.0004,100,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,12,2-7-6,0.0006,100,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,13,2-5-4,0.0012,100,0,0,2600
1,4720260201020008,2026-02-02,松阪,2-7-5,530,14,2-4-7,0.001,100,0,0,2600
2,4720260201030012,2026-02-03,松阪,4-7-1,2350,1,4-3-1,13.9026,1200,0,0,2500
2,4720260201030012,2026-02-03,松阪,4-7-1,2350,2,4-1-3,2.1182,100,0,0,2500
2,4720260201030012,2026-02-03,松阪,4-7-1,2350,3,4-5-1,1.434,100,0,0,2500
2,4720260201030012,2026-02-03,松阪,4-7-1,2350,4,4-1-5,0.7518,100,0,0,2500
2,4720260201030012,2026-02-03,松阪,4-7-1,2350,5,4-3-7,0.0195,100,0,0,2500
2,4720260201030012,2026-02-03,松阪,4-7-1,2350,6,4-7-3,0.0028,100,0,0,2500
2,4720260201030012,2026-02-03,松阪,4-7-1,2350,7,4-6-3,0.005,100,0,0,2500
2,4720260201030012,2026-02-03,松阪,4-7-1,2350,8,4-1-7,0.0002,100,0,0,2500
