レースNo,結果,race_id,日付,venue,軸,決着,決着オッズ,買い目順位,組み合わせ,EV,配分(円),的中フラグ,回収(円),総投資(円),純益(円),カオス,鬼脚,top_ev
1,外れ,2420260131020007,2026-02-01,宇都宮,6,4-6-5,6850,1,6-1-4,1.8327,200,0,0,300,-300,FALSE,TRUE,72.3
1,外れ,2420260131020007,2026-02-01,宇都宮,6,4-6-5,6850,2,6-4-1,0.7664,100,0,0,300,,FALSE,TRUE,72.3
2,外れ,4720260201010012,2026-02-01,松阪,3,2-7-1,12440,1,3-2-1,0,400,0,0,1100,-1100,FALSE,FALSE,85.9
2,外れ,4720260201010012,2026-02-01,松阪,3,2-7-1,12440,2,3-1-2,0,200,0,0,1100,,FALSE,FALSE,85.9
2,外れ,4720260201010012,2026-02-01,松阪,3,2-7-1,12440,3,3-2-6,0,100,0,0,1100,,FALSE,FALSE,85.9
2,外れ,4720260201010012,2026-02-01,松阪,3,2-7-1,12440,4,3-6-2,0,100,0,0,1100,,FALSE,FALSE,85.9
2,外れ,4720260201010012,2026-02-01,松阪,3,2-7-1,12440,5,3-1-5,0,100,0,0,1100,,FALSE,FALSE,85.9
2,外れ,4720260201010012,2026-02-01,松阪,3,2-7-1,12440,6,3-1-6,0,100,0,0,1100,,FALSE,FALSE,85.9
2,外れ,4720260201010012,2026-02-01,松阪,3,2-7-1,12440,7,3-6-1,0,100,0,0,1100,,FALSE,FALSE,85.9
3,外れ,2420260131030006,2026-02-02,宇都宮,6,7-6-5,36080,1,6-4-5,0.0192,400,0,0,700,-700,FALSE,TRUE,74.9
3,外れ,2420260131030006,2026-02-02,宇都宮,6,7-6-5,36080,2,6-4-2,0.0002,100,0,0,700,,FALSE,TRUE,74.9
3,外れ,2420260131030006,2026-02-02,宇都宮,6,7-6-5,36080,3,6-4-7,0,100,0,0,700,,FALSE,TRUE,74.9
3,外れ,2420260131030006,2026-02-02,宇都宮,6,7-6-5,36080,4,6-4-3,0,100,0,0,700,,FALSE,TRUE,74.9
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,1,4-6-3,1.7504,1300,0,0,2600,-2600,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,2,4-3-6,0.1576,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,3,4-6-7,0.0596,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,4,4-5-3,0.0243,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,5,4-3-5,0.0219,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,6,4-5-2,0.0096,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,7,4-2-5,0.0071,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,8,4-7-6,0.0027,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,9,4-2-1,0.0032,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,10,4-5-7,0.0004,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,11,4-7-5,0.0001,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,12,4-2-3,0.0003,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,13,4-1-7,0.0001,100,0,0,2600,,FALSE,FALSE,70.6
4,外れ,2420260131030007,2026-02-02,宇都宮,4,7-1-3,13270,14,4-7-1,0,100,0,0,2600,,FALSE,FALSE,70.6
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,1,2-7-5,3.0124,600,1,3180,2600,580,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,2,2-5-7,3.134,800,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,3,2-7-1,0.0386,100,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,4,2-7-3,0.0317,100,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,5,2-5-1,0.0881,100,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,6,2-1-7,0.0451,100,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,7,2-5-3,0.0465,100,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,8,2-1-5,0.083,100,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,9,2-3-7,0.0307,100,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,10,2-3-5,0.0372,100,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,11,2-7-4,0.0004,100,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,12,2-7-6,0.0006,100,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,13,2-5-4,0.0012,100,0,0,2600,,FALSE,FALSE,73.4
5,的中,4720260201020008,2026-02-02,松阪,2,2-7-5,530,14,2-4-7,0.001,100,0,0,2600,,FALSE,FALSE,73.4
6,外れ,4720260201020009,2026-02-02,松阪,7,1-2-7,2980,1,7-1-5,22.2392,500,0,0,1400,-1400,FALSE,FALSE,72
6,外れ,4720260201020009,2026-02-02,松阪,7,1-2-7,2980,2,7-5-1,15.4346,300,0,0,1400,,FALSE,FALSE,72
6,外れ,4720260201020009,2026-02-02,松阪,7,1-2-7,2980,3,7-1-6,0.0276,100,0,0,1400,,FALSE,FALSE,72
6,外れ,4720260201020009,2026-02-02,松阪,7,1-2-7,2980,4,7-1-4,0.0127,100,0,0,1400,,FALSE,FALSE,72
6,外れ,4720260201020009,2026-02-02,松阪,7,1-2-7,2980,5,7-1-2,0.0012,100,0,0,1400,,FALSE,FALSE,72
6,外れ,4720260201020009,2026-02-02,松阪,7,1-2-7,2980,6,7-2-1,0.0004,100,0,0,1400,,FALSE,FALSE,72
6,外れ,4720260201020009,2026-02-02,松阪,7,1-2-7,2980,7,7-5-2,0.0004,100,0,0,1400,,FALSE,FALSE,72
6,外れ,4720260201020009,2026-02-02,松阪,7,1-2-7,2980,8,7-2-5,0.0002,100,0,0,1400,,FALSE,FALSE,72
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,1,1-7-2,11.4998,1100,0,0,2500,-2500,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,2,1-2-7,1.3771,100,0,0,2500,,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,3,1-7-4,3.1559,100,0,0,2500,,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,4,1-7-5,3.5621,200,0,0,2500,,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,5,1-4-7,0.4163,100,0,0,2500,,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,6,1-5-7,1.4566,100,0,0,2500,,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,7,1-4-6,0.6464,100,0,0,2500,,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,8,1-2-4,0.0326,100,0,0,2500,,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,9,1-4-2,0.0189,100,0,0,2500,,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,10,1-2-5,0.0631,100,0,0,2500,,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,11,1-5-2,0.1437,100,0,0,2500,,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,12,1-2-3,0.0955,100,0,0,2500,,FALSE,FALSE,83.8
7,外れ,2720260203010008,2026-02-03,京王閣,1,2-3-6,45210,13,1-4-5,0.0128,100,0,0,2500,,FALSE,FALSE,83.8
