選手名,登録番号,卒業期,地区,ホームバンク,府県,脚質,生年月日,縁故選手,友人,練習仲間,練習グループ,師匠,弟子,好きな周長,好きな車番,好きな食べ物,嫌いな食べ物
相川　永伍,14448,95期,関東,大宮,埼玉県,追,1983/12/1,相川 武男(叔父40期・引退),-,-,スタミナ道場,飯田　威文（埼　玉・67期）,植原　琢也（埼　玉・113期）、吉田　晏生（埼　玉・123期）、佐藤譲士郎（埼　玉・123期）,500m,3,肉・白米,梅干し
相澤　政宏,14711,99期,北日本,-,宮城県,追,1979/3/30,相澤 恵一(弟95期),-,阿部　英光（宮　城・89期）,-,岡田　富夫（宮　城・39期）,-,-,２・３,焼き肉,無し
青木　瑞樹,15725,123期,中国,玉野,岡山県,逃,1999/9/3,-,-,-,安田グループ,櫻井　太士（岡　山・94期）,-,333m,9,にんにくやのラーメン,-
青野　将大,15436,117期,南関東,川崎,神奈川県,逃,1994/6/28,-,-,小原　太樹（神奈川・95期）、新村　穣（神奈川・119期）、池邉　聖（神奈川・123期）、塩島嵩一朗（神奈川・125期）,川崎競輪場グループ,小原　太樹（神奈川・95期）,-,400m,7,焼肉,酢の物
青森　伸也,13829,87期,北日本,いわき平,福島県,追,1977/4/22,-,-,鈴木　健一（福　島・69期）、齋藤　和也（福　島・78期）,夢道場,添田　広福（福　島・49期）,-,-,2,もち,魚貝類
青柳　靖起,15473,117期,九州,武雄,佐賀県,逃,2000/2/18,-,江連　和洋（栃　木・76期）,山崎　岳志（佐　賀・74期）、立部　楓真（佐　賀・115期）,-,山崎　岳志（佐　賀・74期）,-,400m,1,すし,なし
秋本　耀太郎,15421,117期,関東,宇都宮,栃木県,逃,1998/2/27,-,眞杉　匠（栃　木・113期）、戸邉　捺希（埼　玉・117期）、藤田　周磨（埼　玉・117期）、石原　颯（香　川・117期）、隅田　洋介（岡　山・107期）,眞杉　匠（栃　木・113期）、隅田　洋介（岡　山・107期）、金子　幸央（栃　木・101期）、神山　尚（栃　木・109期）、塚本　和宏（栃　木・90期）、長島　大介（栃　木・96期）,ＹＳＫ,塚本　和宏（栃　木・90期）,-,500m,3,オムライス、プリン,-
浅井　康太,14089,90期,中部,四日市,三重県,両,1984/6/22,-,-,溝口　葵（三　重・117期）,-,佐久間重光（三　重・41期）,伊藤　稔真（三　重・111期）、伊藤　優里（三　重・126期）,-,-,-,-
朝倉　智仁,15334,115期,関東,取手,茨城県,逃,1999/8/4,-,竹元　健竜（福　岡・115期）、小畑　勝広（茨　城・115期）、佐藤　礼文（茨　城・115期）、村上　竜馬（広　島・115期）,横山　尚則（茨　城・100期）、吉田　拓矢（茨　城・107期）、吉田　有希（茨　城・119期）、木村　皆斗（茨　城・119期）、橋本　壮史（茨　城・119期）,佐藤誘導友の会,横山　尚則（茨　城・100期）,-,400m,-,王道家,王道家以外
朝倉　佳弘,14071,90期,関東,京王閣,東京都,追,1980/11/3,-,-,古川　宗行（東　京・96期）、近藤　寛央（東　京・97期）,-,森田　茂（東　京・43期）,-,-,1,甘い物、魚、肉,-
