選手名,旧順位,新順位,順位変動,隠れ鬼脚指数,新_隠れ鬼脚指数,鬼脚差分,千切れリスク,新_千切れリスク,千切れ差分,死に駆け忠誠度,新_死に駆け忠誠度,忠誠差分,突っ込み力,新_突っ込み力,突っ込み差分,新総合,再スコア特記事項
上吹越 直樹,21,1,20,56.3,75.8,19.5,26.8,75.4,48.6,40.0,7.0,-33.0,50.0,38.8,-11.2,49.2,IP5.0 / DP6.0 / BP5.0 | 大敗でもDP/伸びで脚残り検出 / BP/追走面の脆さで番手過信禁物
山田 庸平,18,2,16,64.5,74.6,10.1,23.3,73.9,50.6,40.0,4.0,-36.0,50.0,38.8,-11.2,47.8,IP6.25 / BP5.67 | 大敗でもDP/伸びで脚残り検出 / BP/追走面の脆さで番手過信禁物
太刀川 一成,3,3,0,42.0,65.6,23.6,46.3,71.0,24.7,40.0,8.0,-32.0,75.0,44.6,-30.4,47.3,IP5.21 / EP5.0 / DP6.0 / BP5.0 | 位置取り負け由来の着悪化に注意 / BP/追走面の脆さで番手過信禁物
近藤 俊明,17,4,13,42.0,67.5,25.5,52.4,75.6,23.2,40.0,4.0,-36.0,47.5,33.2,-14.3,45.1,IP5.38 / DP6.0 / BP5.38 | 位置取り負け由来の着悪化に注意 / BP/追走面の脆さで番手過信禁物
川津 悠揮,29,5,24,78.0,71.4,-6.6,19.1,69.0,49.9,12.0,1.0,-11.0,42.5,38.4,-4.0,45.0,IP5.7 / DP5.5 / BP5.75 | 大敗でもDP/伸びで脚残り検出 / BP/追走面の脆さで番手過信禁物
塚本 大樹,4,6,-2,30.2,34.3,4.1,52.4,75.4,23.0,40.0,7.0,-33.0,75.0,62.7,-12.3,44.8,IP5.62 / EP5.0 / DP7.0 / BP5.33 | BP/追走面の脆さで番手過信禁物 / 展開向けば終いで浮上
小原 太樹,14,7,7,64.5,66.6,2.1,17.6,68.0,50.4,40.0,5.0,-35.0,62.5,32.8,-29.7,43.1,IP6.46 / BP6.46 | 位置取り負け由来の着悪化に注意 / BP/追走面の脆さで番手過信禁物
須永 優太,9,8,1,76.0,58.0,-18.0,17.6,37.8,20.2,40.0,10.0,-30.0,55.0,66.5,11.5,43.1,IP6.58 / DP7.5 / BP6.73 | 位置取り負け由来の着悪化に注意 / マーク時の追走課題あり / 展開向けば終いで浮上
福田 滉,25,9,16,76.0,66.9,-9.1,22.2,69.0,46.8,40.0,10.0,-30.0,27.5,26.0,-1.5,43.0,IP5.67 / DP7.0 / BP5.6 | 位置取り負け由来の着悪化に注意 / BP/追走面の脆さで番手過信禁物
金澤 幸司,16,10,6,52.0,71.0,19.0,30.2,73.7,43.5,40.0,8.0,-32.0,60.0,18.3,-41.7,42.8,IP4.78 / DP6.0 / BP4.67 | 大敗でもDP/伸びで脚残り検出 / BP/追走面の脆さで番手過信禁物
